Date,Open,High,Low,Close
31 Dec 2019,28495,28549.5,28270.25,28307.55
30 Dec 2019,28528.95,28612.95,28406.7,28484.85
27 Dec 2019,28354.5,28500.25,28319.9,28476.8
26 Dec 2019,28409.1,28435.25,28259.75,28280.25
24 Dec 2019,28423.7,28430.4,28318.75,28382.85
23 Dec 2019,28383.55,28523.1,28262.8,28395.75
20 Dec 2019,28282.25,28436.35,28270.95,28406.25
19 Dec 2019,28154,28287.1,28142.8,28245.3
18 Dec 2019,28086.15,28171.3,27908.9,28138.2
17 Dec 2019,27977.4,28066.3,27921,28031.75
16 Dec 2019,28095.9,28121.6,27896,27915.25
13 Dec 2019,27906.2,28102,27893.3,28076.7
12 Dec 2019,27734.3,27880,27675.25,27793.8
11 Dec 2019,27509.7,27629.1,27347.3,27594.25
10 Dec 2019,27786.45,27857.05,27430,27463.65
09 Dec 2019,27870.3,27989.35,27705,27758.05
06 Dec 2019,28221.2,28264.95,27741.55,27854.05
05 Dec 2019,28337.9,28399.85,28094.75,28145.55
04 Dec 2019,28239.1,28400.35,28187.05,28364.2
03 Dec 2019,28608.45,28611.35,28265.15,28333.2
02 Dec 2019,28581.05,28592.1,28378,28539.45
29 Nov 2019,28798.05,28906.6,28468.05,28546.45
28 Nov 2019,28500.85,28835.35,28454.95,28765.6
27 Nov 2019,28357.4,28497.95,28295.3,28468.7
26 Nov 2019,28554.3,28673.45,28162.1,28264.05
25 Nov 2019,28090.05,28475.2,28084.35,28443.5
22 Nov 2019,28157.7,28177.65,27972.15,28059.2
21 Nov 2019,28360.8,28360.8,28099.3,28132.6
20 Nov 2019,28178.7,28349.65,28164.65,28245.95
19 Nov 2019,28152.1,28174.95,28006.7,28071.9
18 Nov 2019,28262.15,28302.75,28119.45,28154
15 Nov 2019,28266.65,28329.3,28103.65,28195.55
14 Nov 2019,28324.65,28327.35,28077.95,28175.6
13 Nov 2019,28535.85,28746.45,28214.2,28298.6
11 Nov 2019,28323.9,28560.75,28296,28451.15
08 Nov 2019,28721.4,28810.9,28342.05,28387.25
07 Nov 2019,28673.15,28735.6,28579.2,28686.25
06 Nov 2019,28449.6,28613.1,28292.6,28534.2
05 Nov 2019,28670.85,28695.7,28375.1,28442.35
04 Nov 2019,28760.05,28913.9,28608.7,28652.9
01 Nov 2019,28794.25,28953.7,28671.05,28706.55
